,words,frequency,ngram
868,능하답,8398,3
869,하답니,8398,3
870,많이힘드,8398,4
871,이힘드시,8398,4
872,자영업도,8398,4
873,직장인은,8398,4
874,가능하고,8398,4
875,사회인도,8398,4
876,가능하답,8398,4
877,능하답니,8398,4
878,하답니다,8398,4
879,많이힘드시,8398,5
880,이힘드시죠,8398,5
881,가능하답니,8398,5
882,능하답니다,8398,5
883,식이,8397,2
884,인플,8350,2
885,플루,8350,2
886,루언,8350,2
887,언서,8350,2
888,서가,8350,2
889,인플루,8350,3
890,플루언,8350,3
891,루언서,8350,3
892,언서가,8350,3
893,인플루언,8350,4
894,플루언서,8350,4
895,루언서가,8350,4
896,인플루언서,8350,5
897,플루언서가,8350,5
898,국가,8298,2
899,따른,8296,2
900,일부,8290,2
901,주문,8290,2
902,공장,8290,2
903,능을,8290,2
904,픈채,8290,2
905,채팅,8290,2
906,팅방,8290,2
907,오픈채,8290,3
908,픈채팅,8290,3
909,채팅방,8290,3
910,오픈채팅,8290,4
911,픈채팅방,8290,4
912,오픈채팅방,8290,5
913,크게,8282,2
914,높,8279,1
915,율,8266,1
916,발주,8265,2
917,듯,8264,1
918,버,8253,1
919,때까,8208,2
920,때까지,8208,3
921,대기,8204,2
922,기중,8204,2
923,대기중,8204,3
924,한방에,8136,3
925,풀,8135,1
926,풀어,8135,2
927,곳인,8135,2
928,개인,8135,2
929,인방,8135,2
930,할때,8135,2
931,디에,8135,2
932,볼수,8135,2
933,받으시,8135,3
934,으시죠,8135,3
935,곳인데,8135,3
936,미있어,8135,3
937,개인방,8135,3
938,인방송,8135,3
939,할때까,8135,3
940,어디에,8135,3
941,디에서,8135,3
942,받으시죠,8135,4
943,재미있어,8135,4
944,미있어서,8135,4
945,개인방송,8135,4
946,할때까지,8135,4
947,어디에서,8135,4
948,디에서도,8135,4
949,재미있어서,8135,5
950,어디에서도,8135,5
951,화끈,8103,2
952,안전,8063,2
953,가에,8054,2
954,랙,8014,1
955,틱,8014,1
956,철,8014,1
957,짝,8014,1
958,카이,8014,2
959,로프,8014,2
960,프랙,8014,2
961,랙틱,8014,2
962,치열,8014,2
963,열한,8014,2
964,료시,8014,2
965,장에,8014,2
966,지름,8014,2
967,름길,8014,2
968,길로,8014,2
969,급부,8014,2
970,부상,8014,2
971,위취,8014,2
972,증의,8014,2
973,철문,8014,2
974,활짝,8014,2
975,열려,8014,2
976,물리,8014,2
977,리치,8014,2
978,치료,8014,2
979,료사,8014,2
980,동요,8014,2
981,요법,8014,2
982,법사,8014,2
983,추나,8014,2
984,맛사,8014,2
985,사지,8014,2
986,내에,8014,2
987,국인,8014,2
988,위증,8014,2
989,증서,8014,2
990,서를,8014,2
991,득할,8014,2
992,카이로,8014,3
993,이로프,8014,3
994,로프랙,8014,3
995,프랙틱,8014,3
996,치열한,8014,3
997,의료시,8014,3
998,료시장,8014,3
999,시장에,8014,3
1000,장에서,8014,3
1001,성공하,8014,3
1002,공하는,8014,3
1003,지름길,8014,3
1004,름길로,8014,3
1005,급부상,8014,3
1006,학위취,8014,3
1007,위취득,8014,3
1008,인증의,8014,3
1009,철문이,8014,3
1010,물리치,8014,3
1011,리치료,8014,3
1012,치료사,8014,3
1013,운동요,8014,3
1014,동요법,8014,3
1015,요법사,8014,3
1016,맛사지,8014,3
1017,문가에,8014,3
1018,가에게,8014,3
1019,소식이,8014,3
1020,식이죠,8014,3
1021,국내에,8014,3
1022,내에서,8014,3
1023,미국인,8014,3
1024,국인증,8014,3
1025,학위증,8014,3
1026,위증서,8014,3
1027,증서를,8014,3
1028,취득할,8014,3
1029,카이로프,8014,4
1030,이로프랙,8014,4
1031,로프랙틱,8014,4
1032,의료시장,8014,4
1033,료시장에,8014,4
1034,시장에서,8014,4
1035,성공하는,8014,4
1036,지름길로,8014,4
1037,학위취득,8014,4
1038,물리치료,8014,4
1039,리치료사,8014,4
1040,운동요법,8014,4
1041,동요법사,8014,4
1042,전문가에,8014,4
1043,문가에게,8014,4
1044,희소식이,8014,4
1045,소식이죠,8014,4
1046,국내에서,8014,4
1047,내에서도,8014,4
1048,미국인증,8014,4
1049,학위증서,8014,4
1050,위증서를,8014,4
1051,카이로프랙,8014,5
1052,이로프랙틱,8014,5
1053,의료시장에,8014,5
1054,료시장에서,8014,5
1055,물리치료사,8014,5
1056,운동요법사,8014,5
1057,전문가에게,8014,5
1058,희소식이죠,8014,5
1059,국내에서도,8014,5
1060,학위증서를,8014,5
1061,전히,7945,2
1062,회신,7928,2
1063,홈,7922,1
1064,확보,7916,2
1065,않으,7913,2
1066,족,7908,1
1067,능합,7908,2
1068,가능합,7908,3
1069,능합니,7908,3
1070,가능합니,7908,4
1071,능합니다,7908,4
1072,가능합니다,7908,5
1073,크는,7897,2
1074,일정,7889,2
1075,태,7888,1
1076,원단,7888,2
1077,수량,7888,2
1078,장생,7888,2
1079,산량,7888,2
1080,량과,7888,2
1081,날자,7888,2
1082,조율,7888,2
1083,율해,7888,2
1084,고시,7888,2
1085,품설,7888,2
1086,능은,7888,2
1087,용시,7888,2
1088,하하,7888,2
1089,공장생,7888,3
1090,장생산,7888,3
1091,생산량,7888,3
1092,산량과,7888,3
1093,날자를,7888,3
1094,조율해,7888,3
1095,율해서,7888,3
1096,출고일,7888,3
1097,고일정,7888,3
1098,발주시,7888,3
1099,출고시,7888,3
1100,제품설,7888,3
1101,품설명,7888,3
1102,기능은,7888,3
1103,사용시,7888,3
1104,성능을,7888,3
1105,저하하,7888,3
1106,하하지,7888,3
1107,공장생산,7888,4
1108,장생산량,7888,4
1109,생산량과,7888,4
1110,조율해서,7888,4
1111,출고일정,7888,4
1112,제품설명,7888,4
1113,저하하지,7888,4
1114,공장생산량,7888,5
1115,장생산량과,7888,5
1116,극,7870,1
1117,는듯,7870,2
1118,으며,7870,2
1119,높은,7870,2
1120,익을,7828,2
1121,수익을,7828,3
1122,속,7815,1
1123,절,7788,1
1124,완전,7776,2
1125,보고,7769,2
1126,교,7745,1
1127,럽여,7713,2
1128,스를,7713,2
1129,어드,7713,2
1130,드려,7713,2
1131,려요,7713,2
1132,끈한,7713,2
1133,수없,7713,2
1134,클럽여,7713,3
1135,럽여러,7713,3
1136,레스를,7713,3
1137,풀어드,7713,3
1138,어드립,7713,3
1139,드려요,7713,3
1140,화끈한,7713,3
1141,볼수없,7713,3
1142,수없는,7713,3
1143,클럽여러,7713,4
1144,럽여러분,7713,4
1145,트레스를,7713,4
1146,풀어드립,7713,4
1147,어드립니,7713,4
1148,볼수없는,7713,4
1149,클럽여러분,7713,5
1150,스트레스를,7713,5
1151,풀어드립니,7713,5
1152,어드립니다,7713,5
1153,초보,7712,2
1154,시는,7611,2
1155,갑,7498,1
1156,확보하,7487,3
1157,겪,7486,1
1158,단이,7486,2
1159,여전,7486,2
1160,부족,7486,2
1161,사태,7486,2
1162,태를,7486,2
1163,겪고,7486,2
1164,극복,7486,2
1165,복을,7486,2
1166,각국,7486,2
1167,량은,7486,2
1168,크입,7486,2
1169,품의,7486,2
1170,질을,7486,2
1171,급에,7486,2
1172,원단이,7486,3
1173,국가들,7486,3
1174,가들은,7486,3
1175,여전히,7486,3
1176,사태를,7486,3
1177,있는듯,7486,3
1178,극복을,7486,3
1179,있다면,7486,3
1180,유하시,7486,3
1181,수량은,7486,3
1182,스크는,7486,3
1183,스크입,7486,3
1184,크입니,7486,3
1185,제품의,7486,3
1186,않으며,7486,3
1187,품질을,7486,3
1188,공급에,7486,3
1189,국가들은,7486,4
1190,공유하시,7486,4
1191,유하시고,7486,4
1192,마스크는,7486,4
1193,마스크입,7486,4
1194,스크입니,7486,4
1195,크입니다,7486,4
1196,확보하고,7486,4
1197,공유하시고,7486,5
1198,마스크입니,7486,5
1199,스크입니다,7486,5
1200,런,7374,1
1201,번,7304,1
1202,는분들이,7265,4
1203,유저,7262,2
1204,이라,7239,2
1205,술,7130,1
1206,라인,7102,2
1207,원하,7097,2
1208,지만,7041,2
1209,디서,7022,2
1210,어디서,7022,3
1211,많은,7018,2
1212,돈안,7016,2
1213,돈안들,7016,3
1214,특,6930,1
1215,이고,6928,2
1216,두,6909,1
1217,업체,6854,2
1218,새로,6789,2
1219,아이,6759,2
1220,용하,6758,2
1221,글로,6756,2
1222,로벌,6756,2
1223,글로벌,6756,3
1224,람,6724,1
1225,온,6700,1
1226,온라,6700,2
1227,온라인,6700,3
1228,언제,6644,2
1229,서든,6642,2
1230,디서든,6642,3
1231,어디서든,6642,4
1232,하여,6620,2
1233,액,6611,1
1234,어요,6589,2
1235,달,6535,1
1236,되면,6525,2
1237,주식,6517,2
1238,로운,6413,2
